lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_1;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_26;v_27;v_28;v_29;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_46;v_52;v_53;v_54;v_55;v_56;v_57;v_63;v_64;v_65;v_66;v_67;v_68;v_69;v_70;v_71;v_72;v_73;v_74;v_75;v_76;v_82;v_83;v_84;v_85;v_111;v_117;v_118;v_119;v_120;v_121;v_122;v_124;v_142;v_268;v_0ab75;v_b4933;v_bcfd1;v_272;v_f9027;v_c054d;v_aaa14;v_276;v_277;v_278;v_279;v_280;v_282;v_284;v_285;v_286;v_289;v_290;v_291;v_294;v_295;v_296;v_297;v_299;v_300;v_301;v_302;v_303;v_304;v_305;v_306;v_307;v_308;v_309;v_310;v_311;v_312;v_313;v_314;v_315;v_319;v_320;v_321;v_322;v_323;v_325;v_326;v_327;v_328;v_329;v_330;v_331;v_332;v_177;v_178;v_179;v_186;v_187;v_188;v_189;v_190;v_191;v_197;v_198;v_199;v_200;v_201;v_202;v_203;v_204;v_205;v_206;v_333;v_334;v_335;v_336;v_337;v_338;v_339;v_2598;v_223;v_225;v_226;v_227;v_228;v_229;v_231;v_233;v_234;v_235;v_236;v_238;v_241;v_2604;v_2605;v_245;v_246;dupl1_v_245;v_250;v_251;v_252;v_253;v_254;v_257;v_259;v_260;v_262;v_263;v_269;v_270;v_271;v_273;v_274;v_275;ext_host;ip_addr;device_type;participant_browser;participant_browser_version;participant_os;participant_device;participant_brand;participant_model;participant_isbot;participant_continent;participant_country;participant_region;participant_city;participant_latitude;participant_longitude;quota;quota_assignment;hflip;vflip;output_mode;javascript;flash;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts712934;rts712935;rts712936;rts712937;rts712938;rts712939;rts712940;rts712941;rts712942;rts712943;rts712944;rts712945;rts712946;rts712950;rts712951;rts712952;rts712954;rts712958;rts712959;rts712960;rts712961;rts712962;rts712963;rts712965;rts712966;rts712967;rts712969;rts712971;rts712972;rts712974;rts712975;rts712977;rts712978;rts712979;rts712981;rts712982;rts712984;rts712985;rts712986;rts712987;rts712988;rts712990;rts712991;rts712993;rts712994;rts713002;rts713007;rts713010;rts713014;rts713016;rts713018;rts713019;rts713021;rts713023;rts713025;geschlecht;bildung;beruf;stadt_teil;stadt_teil2;alter;indi;jahr
177;0;0;31;"712995";;287;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;0;-99;0;;;0;;;-99;-99;0;0;0;0;"-99";0;0;0;0;-66;0;0;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554332162;"2019-04-03 22:56:02";"2019-04-03 23:00:49";"0000-00-00 00:00:00";3;9;43;56;65;73;84;87;91;94;97;106;113;120;130;132;136;216;217;219;221;224;228;235;238;240;;;242;249;254;;;257;;;;260;265;269;281;;284;;287;145;173;177;184;187;189;202;213;231;232;"";"";"";"";;"";0;2019
180;0;0;31;"712995";;2048;2;3;2;1;3;3;2;1;1;4;1;3;1;3;4;2;1;4;5;3;4;;4;3;4;3;3;3;3;2;2;5;5;3;2;3;2;2;3;5;2;3;2;3;5;5;2;1;1;3;3;3;3;3;3;3;1;3;3;1;1;1;1;1;1;1;3;3;3;2;1;3;0;1;1;1;3;3;2;3;3;1;5;3;2;2;3;3;3;3;3;4;3;4;3;3;2;3;4;3;2;3;2;3;4;4;3;2;3;3;3;2;3;3;2;3;3;3;2;4;2;1;3;3;3;4;4;4;3;4;5;3;4;3;3;3;3;3;3;2;3;1;1;3;;7;120;2;;;2;;1;1;-99;2;12;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554333611;"2019-04-03 23:20:11";"2019-04-03 23:54:19";"0000-00-00 00:00:00";6;20;115;397;471;531;593;685;787;807;840;916;938;956;988;1004;1013;1420;1432;1447;1580;1617;1683;1771;1783;1791;1817;;1829;1845;1868;;;1875;;;1935;1945;1967;1982;1993;;2002;;2048;1061;1135;1171;1192;1230;1272;1347;1402;1718;1756;"weiblich";"Mittlere Reife";"Beamter/in";"Gartenstadt/Ost";3;"56-60";5;2019
185;0;0;31;"712995";;1707;1;3;2;3;2;4;2;2;1;3;2;3;1;2;2;1;1;5;4;3;3;3;4;5;5;2;2;1;2;1;2;1;6;2;1;2;3;2;2;5;1;2;2;2;6;4;3;2;3;3;2;3;2;2;2;4;3;2;2;1;1;1;2;3;1;3;3;3;2;2;1;3;0;1;2;1;2;3;1;1;2;1;5;4;1;2;3;4;4;2;4;4;4;4;3;4;2;3;2;1;1;2;2;3;3;3;3;3;3;3;3;1;1;2;;2;2;2;1;1;3;2;4;3;3;2;2;4;3;2;5;3;3;3;3;3;3;2;2;1;4;1;0;2;;8;120;1;30;1;2;;1;4;2;4;10;1;1;"Amerikanische";1;0;0;0;-66;1;2;"USA";1;1;1;5;5;3;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554347659;"2019-04-04 03:14:19";"2019-04-04 03:42:46";"0000-00-00 00:00:00";9;18;71;243;296;327;380;541;642;654;680;734;756;763;804;810;834;1201;1203;1213;1310;1352;1405;1463;1470;1474;1479;;1487;;1502;1542;1550;1558;;;1575;1590;1609;1622;1644;;1654;1697;1707;879;937;974;985;1022;1062;1143;1195;1434;1452;"maennlich";"(Fach-)Abitur";"Angestelle/r";"Mitte/Wunderburg";1;"41-45";5;2019
187;0;0;31;"712995";;1526;2;2;3;3;1;2;4;2;1;3;1;2;1;2;4;3;1;1;3;2;2;2;3;4;5;3;8;4;3;4;3;1;6;4;2;2;4;2;1;3;3;1;2;2;4;5;2;3;2;4;4;1;1;1;2;3;1;3;3;2;2;3;3;3;3;3;3;2;1;2;3;4;0;1;1;1;5;1;2;1;1;5;4;2;1;1;1;3;3;1;3;5;3;5;3;2;2;4;1;1;1;1;2;4;2;4;3;2;4;2;2;4;1;2;3;2;2;2;3;1;2;2;2;3;3;1;1;1;1;3;5;4;3;2;3;3;3;3;3;2;4;2;;;2;7;70;1;40;10;2;;1;22;0;1;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554353601;"2019-04-04 04:53:21";"2019-04-04 05:18:47";"0000-00-00 00:00:00";3;9;121;330;383;404;436;510;595;603;629;667;682;690;710;716;726;1032;1037;1043;1234;1266;1304;1342;1350;1352;;1358;1362;1378;1392;1417;1425;1437;;;1481;1501;1505;1509;1514;;1518;;1526;754;805;824;835;871;924;979;1026;1324;1336;"weiblich";"(Fach-)Abitur";"";"Gartenstadt/Ost";3;"18-25";5;2019
190;0;0;31;"712995";;2573;3;2;4;4;5;2;2;3;2;3;2;3;2;2;2;3;1;2;2;2;3;2;3;3;4;5;5;4;8;5;4;4;5;3;3;2;5;4;2;3;2;1;2;2;2;3;2;2;2;3;2;1;1;1;1;5;5;2;2;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;1;3;3;2;2;1;4;3;2;2;2;3;3;3;4;4;4;2;3;2;2;3;4;1;1;1;1;1;1;1;1;1;4;5;4;3;4;1;2;2;3;1;1;1;1;5;4;2;2;2;2;2;2;2;3;3;3;3;3;2;3;4;3;2;1;3;1;1;2;;8;100;2;;;2;;2;3;0;3;11;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554354686;"2019-04-04 05:11:26";"2019-04-04 05:54:19";"0000-00-00 00:00:00";7;29;177;271;398;422;454;698;802;815;849;918;940;952;993;1010;1041;1773;1779;1791;2015;2069;2132;2258;2271;2276;2300;;2319;;2333;;;2341;;;2352;2367;2383;2412;2425;;2433;;2573;1112;1349;1442;1461;1512;1570;1652;1756;2179;2245;"maennlich";"Mittlere Reife";"Angestelle/r";"Nord";2;"46-50";5;2019
192;0;0;31;"712995";;777;1;3;3;2;2;1;2;2;1;2;1;3;1;1;2;2;1;3;3;2;2;1;2;4;4;2;1;1;2;2;4;4;5;4;2;1;3;4;2;6;3;2;2;1;3;4;3;1;4;4;3;1;1;1;1;4;2;3;2;1;1;2;3;3;2;4;4;3;2;;1;3;2;2;3;3;3;2;4;1;5;2;4;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;2;1;2;4;3;4;2;3;4;2;3;2;2;3;4;1;2;2;1;1;1;1;3;3;1;1;3;3;1;1;1;4;4;3;1;3;1;3;1;2;1;2;5;1;1;2;;6;225;2;;;2;;2;2;-99;6;1;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554355537;"2019-04-04 05:25:37";"2019-04-04 05:38:34";"0000-00-00 00:00:00";5;11;46;56;93;107;137;161;188;194;209;253;270;277;300;304;312;561;566;569;602;623;647;692;697;701;707;;711;721;728;;;732;;;739;746;749;762;767;;772;;777;342;403;418;432;445;459;515;556;677;684;"weiblich";"Hochschule";"Angestelle/r";"Berg";5;"51-55";5;2019
202;0;0;31;"712995";;2650;3;3;2;3;4;3;3;2;1;4;1;1;2;3;5;5;3;4;4;4;5;4;1;4;3;1;4;6;3;1;1;1;5;3;3;3;3;4;3;6;2;4;3;3;5;6;4;4;3;2;3;5;5;5;5;1;5;2;1;3;2;3;3;3;3;3;3;3;1;2;2;5;5;1;1;1;4;4;1;3;1;2;3;2;2;2;2;3;3;3;2;2;2;3;2;2;2;3;4;5;1;3;4;2;4;3;4;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;5;2;3;3;3;3;3;3;3;1;6;2;;;6;8;62;1;74;6;2;;1;2;0;1;10;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554357402;"2019-04-04 05:56:42";"2019-04-04 06:40:52";"0000-00-00 00:00:00";12;24;73;97;152;178;213;340;369;380;410;461;482;495;535;548;562;2110;2117;2128;2233;2281;2326;2390;2401;2406;;2417;2424;;2450;2465;2477;2484;;;2521;2542;2550;2570;2581;;2590;;2650;606;651;767;792;830;1965;2048;2103;2361;2381;"maennlich";"";"";"Mitte/Wunderburg";1;"51-55";5;2019
204;0;0;31;"712995";;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;0;-99;0;;;0;;;-99;-99;0;0;0;0;"-99";0;0;0;0;-66;0;0;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554358055;"2019-04-04 06:07:35";"2019-04-04 06:10:54";"0000-00-00 00:00:00";4;8;11;13;29;34;46;47;50;53;58;74;77;83;91;94;96;137;138;141;143;145;148;173;174;176;;;179;180;184;;;186;;;;188;190;192;194;;197;;199;101;108;112;116;121;124;128;134;170;171;"";"";"";"";;"";0;2019
205;0;0;31;"712995";;1214;1;3;3;4;3;5;2;3;1;3;1;3;2;2;5;2;1;3;3;2;2;3;4;3;4;2;3;3;1;3;2;1;5;3;2;2;5;3;3;1;3;2;2;2;6;6;2;4;4;4;1;2;1;1;1;3;2;2;3;1;1;1;1;1;1;1;2;2;3;1;4;3;1;1;1;1;1;5;3;2;1;5;3;1;1;2;2;5;5;3;1;5;1;2;3;4;2;4;1;1;1;1;1;1;1;2;1;5;5;3;1;3;1;2;2;2;1;1;1;1;4;4;1;2;2;2;1;1;1;3;4;1;3;3;3;3;3;3;2;1;5;1;1;5;;8;200;2;;;2;;2;3;1;6;1;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554358114;"2019-04-04 06:08:34";"2019-04-04 06:28:48";"0000-00-00 00:00:00";6;13;148;192;242;360;389;452;466;474;500;546;556;562;581;585;594;937;940;947;1020;1037;1062;1088;1093;1096;1101;;1105;;1119;;;1122;;;1138;1147;1155;1159;1165;;1169;;1214;634;702;718;734;785;825;881;931;1079;1084;"maennlich";"Hochschule";"Selbstaendige/r";"Berg";5;"36-40";5;2019
206;0;0;31;"712995";;1487;2;2;1;2;4;3;2;2;2;3;1;1;2;1;4;2;2;3;3;2;4;3;3;3;4;2;2;2;1;2;2;2;6;1;2;2;3;2;5;4;2;2;2;3;3;4;4;3;2;2;3;5;3;4;3;1;2;3;3;2;1;1;3;4;1;2;2;1;3;2;4;2;0;2;2;1;3;1;1;2;1;3;4;2;2;2;2;4;4;2;2;3;4;3;2;3;2;2;5;1;2;3;2;4;3;4;4;3;3;2;3;3;2;2;4;4;2;2;3;3;4;3;2;3;1;2;2;2;2;3;3;3;3;2;2;3;3;3;3;1;3;1;1;2;;8;138;2;;;2;;2;2;0;5;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554359079;"2019-04-04 06:24:39";"2019-04-04 06:49:26";"0000-00-00 00:00:00";5;14;94;134;195;217;250;305;428;437;461;536;558;568;607;615;628;1016;1023;1029;1105;1143;1187;1248;1262;1265;1275;;1283;;1295;;;1300;;;1313;1327;1339;1350;1357;;1364;;1487;709;751;776;795;842;901;966;1011;1216;1236;"maennlich";"Mittlere Reife";"Angestelle/r";"Gartenstadt/Ost";3;"56-60";5;2019
207;0;0;31;"712995";;2862;2;4;2;5;1;4;4;2;4;2;1;1;5;1;2;1;1;1;5;1;1;2;3;1;1;3;1;1;1;8;8;1;5;3;5;5;5;2;2;1;2;4;2;2;1;1;4;3;2;4;1;1;1;1;1;3;1;3;2;1;1;2;4;1;1;4;4;1;5;1;1;1;0;1;1;1;4;4;1;1;1;1;5;1;1;1;1;1;1;1;2;5;4;5;3;3;1;3;1;1;1;1;1;1;1;2;1;3;4;4;3;3;1;2;1;2;1;1;1;1;5;5;1;1;2;1;1;1;1;5;3;2;3;3;1;2;4;2;1;1;5;1;1;5;;7;130;2;;;2;;1;5;2;6;10;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554359364;"2019-04-04 06:29:24";"2019-04-04 07:17:06";"0000-00-00 00:00:00";8;14;65;137;260;270;304;371;1088;1130;1146;1192;1217;1224;1262;1272;1282;1604;1609;1614;1925;1950;1994;2557;2564;2585;2596;;2622;2639;2652;;;2656;;;2675;2684;2710;2737;2744;;2750;;2862;1328;1358;1389;1401;1421;1492;1549;1598;2019;2550;"maennlich";"Hochschule";"Selbstaendige/r";"Mitte/Wunderburg";1;"46-50";5;2019
209;0;0;31;"712995";;2387;2;4;2;3;1;3;3;2;1;4;1;2;1;1;2;2;1;2;3;2;1;3;3;4;3;2;2;1;2;2;2;2;5;2;1;1;2;2;1;1;1;2;2;2;3;3;4;3;4;4;2;1;2;1;1;4;4;2;2;1;1;4;2;4;1;2;1;4;1;2;1;1;0;1;1;1;1;4;3;2;1;4;4;2;1;2;2;3;3;2;1;2;3;3;2;1;1;2;1;3;2;2;2;4;2;2;3;3;4;3;2;4;1;2;1;2;1;1;2;1;4;4;3;3;;2;1;1;1;3;4;3;4;3;3;2;3;3;2;1;5;1;1;5;;7;120;2;;;2;;2;2;0;2;1;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554359796;"2019-04-04 06:36:36";"2019-04-04 07:16:23";"0000-00-00 00:00:00";5;14;45;142;184;199;224;305;362;370;389;433;450;457;481;488;498;1962;1969;1975;2159;2179;2200;2257;2265;2270;2295;;2299;2313;2322;;;2327;;;2339;2348;2353;2361;2368;;2374;;2387;537;1762;1778;1791;1817;1847;1906;1957;2224;2250;"maennlich";"Hochschule";"Selbstaendige/r";"Berg";5;"56-60";5;2019
210;0;0;31;"712995";;1053;2;3;3;4;1;3;2;3;1;2;1;2;1;2;3;4;3;3;4;3;3;2;2;3;4;3;6;3;2;8;4;2;5;2;2;3;3;1;1;3;3;3;2;2;2;3;2;2;3;4;1;1;2;1;1;2;4;3;3;1;1;3;1;4;1;1;4;4;1;1;1;1;0;1;1;1;2;4;1;1;1;5;4;2;1;1;2;3;3;2;4;5;3;4;5;4;2;3;1;1;1;2;1;2;2;2;3;4;5;3;2;2;1;3;2;4;1;1;2;1;4;3;2;2;3;1;1;1;1;2;4;3;3;3;2;3;1;1;2;1;5;1;1;3;;7;100;2;;;2;;2;44;1;5;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554359834;"2019-04-04 06:37:14";"2019-04-04 06:54:47";"0000-00-00 00:00:00";3;9;42;99;144;161;186;237;271;279;300;341;353;360;387;396;400;635;638;643;719;743;772;864;876;879;887;;897;925;945;;;949;;;955;973;987;994;1005;;1014;;1053;428;457;474;487;510;544;594;630;793;856;"maennlich";"Hochschule";"Beamter/in";"Gartenstadt/Ost";3;"31-35";5;2019
211;0;0;31;"712995";;2745;2;3;2;4;3;3;3;2;1;2;2;2;1;2;2;4;4;3;4;4;2;1;2;3;3;2;2;2;2;3;2;1;3;1;1;2;2;2;4;3;3;2;1;1;3;1;4;3;3;2;4;4;4;3;4;1;1;3;3;1;2;1;2;3;1;3;1;3;2;1;2;2;0;1;1;1;2;5;2;1;2;2;4;2;1;2;2;2;2;2;5;5;4;5;3;3;1;5;3;2;1;4;3;3;3;2;1;4;4;4;3;4;1;2;2;3;2;2;2;2;4;4;2;2;2;2;2;2;2;3;2;2;3;3;3;3;3;3;3;2;5;1;0;3;;6;240;2;;;2;;2;33;2;6;12;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554360005;"2019-04-04 06:40:05";"2019-04-04 07:25:50";"0000-00-00 00:00:00";18;23;944;1256;1292;1328;1357;1584;1659;1668;1690;1735;1758;1764;1785;1791;1799;2036;2038;2044;2170;2194;2216;2245;2253;2255;2259;;2263;2290;2303;;;2307;;;2313;2333;2337;2343;2349;;2353;;2745;1826;1852;1870;1883;1912;1942;1995;2027;2235;2239;"weiblich";"Hochschule";"Beamter/in";"Gartenstadt/Ost";3;"41-45";5;2019
227;0;0;31;"712995";;2073;1;3;2;3;1;1;1;1;1;4;1;1;1;1;1;1;1;2;2;1;1;2;1;2;3;2;2;2;2;2;3;3;5;1;1;1;2;2;1;3;1;1;1;1;2;3;4;3;3;4;2;2;2;3;2;5;4;2;2;1;1;1;3;1;1;1;1;1;2;1;1;1;0;1;1;1;4;3;2;2;1;3;4;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;1;1;3;3;;4;4;3;2;3;4;3;3;2;1;2;2;1;1;1;1;4;5;1;3;2;2;1;1;1;4;4;3;1;1;1;3;2;1;2;2;5;1;1;2;;7;140;1;31;4;2;;1;2;-99;5;1;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554360375;"2019-04-04 06:46:15";"2019-04-04 07:20:48";"0000-00-00 00:00:00";5;10;30;39;63;72;164;215;261;268;281;322;338;357;383;390;400;1510;1515;1522;1539;1555;1589;1633;1948;1953;1963;;1969;1973;1983;1994;2004;2009;;;2018;2025;2039;2051;2060;;2068;;2073;429;465;1028;1055;1083;1115;1353;1504;1617;1623;"weiblich";"Hochschule";"Angestelle/r";"Berg";5;"51-55";5;2019
231;0;0;31;"712995";;1613;1;4;1;3;1;2;1;1;1;3;1;1;2;3;2;1;1;2;2;2;1;3;2;1;1;2;1;3;1;2;1;1;6;3;1;1;2;2;2;1;1;2;1;1;1;1;4;4;3;4;2;1;1;1;1;4;2;2;2;1;1;3;3;3;2;3;3;4;2;2;2;1;0;1;1;1;1;1;2;1;1;2;0;2;1;1;1;2;2;2;2;4;3;3;2;3;2;2;1;1;1;4;1;4;4;2;2;3;3;3;2;2;1;2;2;3;1;1;1;1;4;4;1;1;1;1;1;1;1;4;4;4;3;3;3;1;3;4;3;1;3;1;1;2;;5;67;1;35;9;2;;1;2;0;4;10;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554360431;"2019-04-04 06:47:11";"2019-04-04 07:14:04";"0000-00-00 00:00:00";79;85;121;150;211;235;270;351;430;438;464;539;554;563;587;594;607;1015;1019;1024;1264;1326;1353;1409;1417;1419;1428;;1437;1447;1457;1520;1533;1541;;;1571;1579;1585;1594;1602;;1608;;1613;638;679;699;720;769;818;880;1002;1397;1401;"maennlich";"Mittlere Reife";"Angestelle/r";"Mitte/Wunderburg";1;"26-30";5;2019
234;0;0;31;"712995";;2790;1;1;2;1;1;2;2;2;1;4;2;1;1;2;3;1;1;3;3;2;3;3;2;1;3;1;2;2;1;1;1;2;5;1;1;1;3;1;1;1;2;1;2;1;3;3;4;4;4;5;3;1;1;1;1;2;3;2;3;1;1;1;1;2;1;4;4;4;1;2;1;1;0;1;1;1;2;4;2;2;1;4;4;3;1;2;2;4;4;2;2;2;1;2;2;4;1;2;1;1;1;2;1;4;1;3;3;3;3;4;4;3;1;2;2;2;1;1;1;1;2;5;1;2;1;1;1;1;1;2;4;4;3;3;2;3;3;3;2;1;5;1;1;2;;7;120;1;25;6;2;;1;2;-99;4;6;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554360638;"2019-04-04 06:50:38";"2019-04-04 07:37:08";"0000-00-00 00:00:00";576;582;695;805;838;867;909;956;1123;1128;1143;1190;1213;1220;1250;1268;1279;1742;1747;1755;1980;2014;2563;2612;2627;2630;2640;;2650;2662;2674;2702;2714;2719;;;2750;2761;2769;2774;2781;;2788;;2790;1325;1399;1432;1521;1559;1612;1665;1721;2595;2599;"maennlich";"Hochschule";"Angestelle/r";"Gaustadt";7;"56-60";5;2019
236;0;0;31;"712995";;3066;3;4;4;4;2;4;5;3;2;3;3;1;3;4;1;2;2;3;5;3;2;5;3;4;5;3;2;2;3;2;2;2;5;3;4;2;5;3;3;3;3;2;3;3;5;3;4;2;3;3;2;1;2;1;1;4;3;2;2;1;1;1;1;1;2;3;3;3;2;3;2;2;0;1;2;2;4;4;2;1;1;4;2;1;1;2;2;3;3;2;2;5;3;4;4;3;2;4;1;1;1;1;1;3;1;3;2;3;4;4;2;4;1;3;2;4;1;2;2;1;4;4;2;3;2;2;2;2;1;3;4;2;3;3;1;3;1;1;2;2;4;1;1;7;;7;138;2;;;2;;2;2;0;3;6;1;0;"-99";0;1;0;0;-66;2;1;"-99";1;3;2;5;2;1;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554360707;"2019-04-04 06:51:47";"2019-04-04 07:42:53";"0000-00-00 00:00:00";7;21;149;499;608;641;694;1001;1056;1065;1095;1239;1270;1279;1310;1317;1327;1750;1762;1770;2304;2339;2401;2507;2517;2525;2544;;2553;2568;2586;;;2593;;;2617;2628;2642;2648;2823;;2835;2876;3066;1368;1416;1454;1477;1528;1584;1635;1731;2440;2490;"weiblich";"(Fach-)Abitur";"";"Gaustadt";7;"56-60";5;2019
238;0;0;31;"712995";;899;2;2;2;3;3;3;3;2;1;2;1;2;1;2;2;3;2;2;3;3;;3;;;;2;3;2;2;2;2;2;6;4;4;3;3;3;4;4;3;2;3;3;4;;3;3;3;1;3;3;3;4;4;1;1;4;4;1;1;2;2;4;1;3;;2;3;3;2;2;0;1;1;1;2;2;3;3;3;2;4;3;2;2;3;4;4;3;3;4;4;4;4;4;3;4;3;3;1;2;1;2;2;3;3;3;3;3;3;3;2;3;3;4;2;2;1;2;3;3;2;2;3;2;2;3;2;3;4;3;3;3;3;3;3;3;3;2;4;1;1;2;;8;100;2;;;2;;2;3;1;0;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554360743;"2019-04-04 06:52:23";"2019-04-04 07:07:22";"0000-00-00 00:00:00";4;11;54;70;108;135;154;214;246;261;282;326;345;356;393;403;416;663;666;673;711;738;774;808;815;818;827;;834;;847;;;851;;;858;868;873;882;890;;896;;899;455;487;511;526;556;586;632;655;797;800;"weiblich";"(Fach-)Abitur";"Angestelle/r";"Gartenstadt/Ost";3;"46-50";5;2019
240;0;0;31;"712995";;1171;2;2;4;3;2;3;2;3;2;2;2;3;2;3;2;3;3;3;3;3;3;4;4;5;4;2;3;2;1;1;2;3;3;3;3;2;5;3;2;4;3;3;3;3;4;4;2;3;3;3;2;1;1;1;1;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;1;3;3;1;2;1;4;3;2;2;2;3;3;3;3;2;3;3;3;2;3;1;3;1;1;1;1;2;1;1;2;3;4;4;3;3;3;2;2;2;1;2;2;3;2;4;3;2;3;3;2;2;2;2;4;3;4;3;3;2;3;2;3;2;1;5;2;;;3;2;88;1;42;3;2;;2;3;-99;3;12;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554403740;"2019-04-04 18:49:00";"2019-04-04 19:08:31";"0000-00-00 00:00:00";4;12;49;116;162;188;225;284;309;316;344;393;407;416;446;457;470;763;768;780;868;894;935;990;997;1001;;1012;1019;1033;1068;1082;1092;1096;;;1104;1120;1135;1150;1159;;1166;;1171;506;545;565;581;615;663;712;756;961;980;"maennlich";"Hochschule";"";"Gartenstadt/Ost";3;"56-60";5;2019
